model,label,threshold,selection_metric,precision_oof,recall_oof,f1_oof,positive_support_oof,negative_support_oof
Logistic Regression,abusive,0.33,f1,0.7382585293862315,0.8649308380797396,0.7965903236382371,9832,6254
Logistic Regression,Race,0.46,f1,0.7034494896163322,0.7622044241037376,0.7316492769540546,5244,10842
Logistic Regression,Religion,0.48,f1,0.780235633565761,0.8492541219576027,0.8132832080200502,3821,12265
Logistic Regression,Gender,0.52,f1,0.4735872235872236,0.5183193277310925,0.4949446316803081,2975,13111
Logistic Regression,Sexual_Orientation,0.49,f1,0.7325227963525835,0.8060200668896321,0.767515923566879,1794,14292
Logistic Regression,Miscellaneous,0.43,f1,0.3861003861003861,0.5693950177935944,0.46016681046879493,2810,13276
Linear SVM,abusive,0.44,f1,0.7212216781475641,0.8838486574450773,0.7942964215529454,9832,6254
Linear SVM,Race,0.35,f1,0.6976865541833362,0.7648741418764302,0.7297371054307287,5244,10842
Linear SVM,Religion,0.31,f1,0.7657636618402616,0.8581523161476053,0.8093298778230285,3821,12265
Linear SVM,Gender,0.24,f1,0.4325407427197435,0.5442016806722689,0.4819886871092587,2975,13111
Linear SVM,Sexual_Orientation,0.21,f1,0.7029608404966571,0.8205128205128205,0.757201646090535,1794,14292
Linear SVM,Miscellaneous,0.22,f1,0.3857753204322694,0.5462633451957295,0.4522020916187951,2810,13276
Random Forest,abusive,0.42,f1,0.6967893500391543,0.9050040683482506,0.7873639500929122,9832,6254
Random Forest,Race,0.49,f1,0.7261219792865362,0.7219679633867276,0.7240390131956397,5244,10842
Random Forest,Religion,0.48,f1,0.7624296435272045,0.8508243915205443,0.8042053184910328,3821,12265
Random Forest,Gender,0.49,f1,0.5013365013365013,0.5673949579831933,0.532324187953327,2975,13111
Random Forest,Sexual_Orientation,0.48,f1,0.7208073041806824,0.8361204013377926,0.7741935483870968,1794,14292
Random Forest,Miscellaneous,0.51,f1,0.5071876151861408,0.4896797153024911,0.49827992033315227,2810,13276
