comment,abusive,Race,Religion,Gender,Sexual_Orientation,Miscellaneous
The damage this woman does/has done to all human beings in her life at any capacity must be immeasurable. I have not one female in my life that has seen this and said it didn’t make them sick. She had not one coherent question response ect. The only good is I would imagine men will start being men again.,0,0,0,0,0,0
"This has aged like fine wine, oh my goodness.",0,0,0,0,0,0
8 years agp and now they are all proudly communist... he saw all of this so far ahead its crazy.,0,0,0,0,0,0
Intellectual Dwarfs vs Giants,0,0,0,0,0,0
This woman lost even before she starts the interview 😂 and it was more comedy than interview. Credit to Dr Peterson that hold his reasoning,0,0,0,0,0,0
This is Jordan’s closing number if he performed a show of his famous clips.,0,0,0,0,0,0
Can you imagine being trapped with this insufferable clam on an elevator or something?… Jesus.,0,0,0,0,0,0
She keeps trying to make him look like a shovanist and fails... pretty pathetic,0,0,0,0,0,0
Psychologist? They make unsubstantiated claims. Prove any of the claims.,0,0,0,0,0,0
Put em in burkas...Holy sht.,1,0,1,1,0,0
She isn't even listening to his words. Simply shaping each word of his into a question that isn't even representative of his position.  Idiotic.,0,0,0,0,0,0
"I love this man, he's soooo integelgent.  Different level .",0,0,0,0,0,0
What a terrible woman....,0,0,0,0,0,0
PJ❤,0,0,0,0,0,0
"I wept on how Jordan is able to provide the information in the best possible posh sentences. This is the divine spark in us humans. The ability to provide words that separate chaos and order, it is the very Logos that started it all. This video will never die",0,0,0,0,0,0
"Why journalists nowadays are like this , she is assuming everything and not let him talk. Why even bother to bring experts to the show if they are not listening at all ?",0,0,0,0,0,0
By efficiency gender equality causes more global warming than war.,0,0,0,0,0,0
25:00 is quite literally one of the most important pieces of dialogue to be had in modern times.,0,0,0,0,0,0
"Eight years on, and this remains a masterclass in calm, clear and logical thought, versus emotion, hysteria, and wilful blindness",0,0,0,0,0,0
"I come to this interview for inspiration on being patient when dealing with someone who is clearly projecting. JP is so well measured and so knowledgeable hes able to diffuse every provocative comment. 

This lady should be fired or least have her pay reduced. This is awful journalism.

Also 22:10, the man is a genius!!",0,0,0,0,0,0
Imagine never being intelectually challengend in your life... to the point you have absolutely no Radar for someone being leaps and bounds more competent than yourself... must be horrible,0,0,0,0,0,0
