comment,video_id,video_title,source_query,fetched_at
The damage this woman does/has done to all human beings in her life at any capacity must be immeasurable. I have not one female in my life that has seen this and said it didn’t make them sick. She had not one coherent question response ect. The only good is I would imagine men will start being men again.,aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
"This has aged like fine wine, oh my goodness.",aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
8 years agp and now they are all proudly communist... he saw all of this so far ahead its crazy.,aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
Intellectual Dwarfs vs Giants,aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
This woman lost even before she starts the interview 😂 and it was more comedy than interview. Credit to Dr Peterson that hold his reasoning,aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
This is Jordan’s closing number if he performed a show of his famous clips.,aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
Can you imagine being trapped with this insufferable clam on an elevator or something?… Jesus.,aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
She keeps trying to make him look like a shovanist and fails... pretty pathetic,aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
Psychologist? They make unsubstantiated claims. Prove any of the claims.,aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
Put em in burkas...Holy sht.,aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
She isn't even listening to his words. Simply shaping each word of his into a question that isn't even representative of his position.  Idiotic.,aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
"I love this man, he's soooo integelgent.  Different level .",aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
What a terrible woman....,aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
PJ❤,aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
"I wept on how Jordan is able to provide the information in the best possible posh sentences. This is the divine spark in us humans. The ability to provide words that separate chaos and order, it is the very Logos that started it all. This video will never die",aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
"Why journalists nowadays are like this , she is assuming everything and not let him talk. Why even bother to bring experts to the show if they are not listening at all ?",aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
By efficiency gender equality causes more global warming than war.,aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
25:00 is quite literally one of the most important pieces of dialogue to be had in modern times.,aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
"Eight years on, and this remains a masterclass in calm, clear and logical thought, versus emotion, hysteria, and wilful blindness",aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
"I come to this interview for inspiration on being patient when dealing with someone who is clearly projecting. JP is so well measured and so knowledgeable hes able to diffuse every provocative comment. 

This lady should be fired or least have her pay reduced. This is awful journalism.

Also 22:10, the man is a genius!!",aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
Imagine never being intelectually challengend in your life... to the point you have absolutely no Radar for someone being leaps and bounds more competent than yourself... must be horrible,aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
His patience with this woman who is completely incapable of truly listening to a rational viewpoint if it differs from her own is beyond impressive.,aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
"Buck, buck, buck, buck, buck, buck! X 100",aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
