label,model,precision,recall,f1,support
abusive,Logistic Regression,0.8007679180887372,0.7620787657328462,0.7809444560016643,2463
Race,Logistic Regression,0.7283406754772394,0.7532270311313591,0.740574841358716,1317
Religion,Logistic Regression,0.7552380952380953,0.8545258620689655,0.8018200202224469,928
Gender,Logistic Regression,0.44178454842219805,0.5833333333333334,0.5027863777089784,696
Sexual_Orientation,Logistic Regression,0.7161654135338346,0.8466666666666667,0.7759674134419552,450
Miscellaneous,Logistic Regression,0.42433862433862435,0.5577190542420027,0.48197115384615385,719
abusive,Linear SVM,0.7706349206349207,0.7884693463256192,0.779450130443508,2463
Race,Linear SVM,0.6967383761276891,0.762338648443432,0.7280638143582306,1317
Religion,Linear SVM,0.7458777885548011,0.8286637931034483,0.7850944359367024,928
Gender,Linear SVM,0.41517857142857145,0.5344827586206896,0.46733668341708545,696
Sexual_Orientation,Linear SVM,0.6987951807228916,0.7733333333333333,0.7341772151898734,450
Miscellaneous,Linear SVM,0.40573318632855565,0.5118219749652295,0.45264452644526443,719
abusive,Random Forest,0.7583397982932506,0.7937474624441738,0.7756397540170601,2463
Race,Random Forest,0.669344870210136,0.8223234624145785,0.7379897785349233,1317
Religion,Random Forest,0.7310155535224153,0.8609913793103449,0.7906976744186046,928
Gender,Random Forest,0.37509727626459144,0.6925287356321839,0.48662291771832406,696
Sexual_Orientation,Random Forest,0.6723259762308998,0.88,0.7622714148219442,450
Miscellaneous,Random Forest,0.3824921135646688,0.674547983310153,0.48817312531454454,719
